Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pure-matka-silk,White Pure Matka Silk Saree With flower needlework | Korasutra,"<p><span>Elegant White Pure Matka Silk Saree with delicate flower needlework, blending timeless craftsmanship with modern grace. Perfect for festive wear, weddings, and special occasions. Shop premium handcrafted sarees at Korasutra.</span></p>
<p><span>Length is 6.3m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,13000.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777789058/korasutra/products/images/pure-matka-silk-0-607e65de.jpg,1,,false,,,8248,,,,,,,,,,,,,,white,silk,one-size,,,kg,,,active
pure-matka-silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/pure-matka-silk/0-dfd1b973.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
pure-matka-silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845365/korasutra/products/images/pure-matka-silk-csv-3-c986adb63b.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
pure-matka-silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845365/korasutra/products/images/pure-matka-silk-csv-4-b5e3937550.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
pure-matka-silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845366/korasutra/products/images/pure-matka-silk-csv-5-35f8b3091d.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow-pure-silk-block-print-saree-with-spiral-geometric-pattern-korasutra,Lemon Green Pure Silk Block Print Saree With Spiral Geometric Pattern | Korasutra,"<p><span>Shop Lemon Green Pure Silk Block Print Saree with spiral geometric pattern by Korasutra. Elegant, handcrafted design perfect for festive wear and timeless style.</span></p>
<p>Length is 6.25 m with blouse piece </p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,7250.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788886/korasutra/products/images/yellow-pure-silk-block-print-saree-with-spiral-geometric-pattern-korasutra-0-1e0f9737.jpg,1,,false,,,8248,,,,,,,,,,,,,,green,silk,one-size,,,kg,,,active
yellow-pure-silk-block-print-saree-with-spiral-geometric-pattern-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/yellow-pure-silk-block-print-saree-with-spiral-geometric-pattern-korasutra/0-1e0f9737.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow-pure-silk-block-print-saree-with-spiral-geometric-pattern-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/yellow-pure-silk-block-print-saree-with-spiral-geometric-pattern-korasutra/1-961a30c8.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod-fee,COD Fee,Cash on Delivery handling fee,Kora Sutra,,Fee,,true,Title,Default Title,,,,,,,,COD-FEE,0.0,,-1,deny,manual,200.00,,false,true,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,kg,,,active
black-copper-tissue-linen-zari-saree,Black Copper Tissue Linen Zari Saree | Korasutra,"<p><span>Elevate your ethnic style with this Black Copper Tissue Linen Zari Saree, featuring a luxurious sheen, elegant zari detailing, and lightweight comfort. Perfect for weddings, festive occasions, and special events, this premium saree blends traditional craftsmanship with modern sophistication for a timeless look.</span></p>
<p><span>Length is 6.5m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,4250.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788884/korasutra/products/images/black-copper-tissue-linen-zari-saree-0-0e183982.jpg,1,,false,,,8248,,,,,,,,,,,,,,black,linen,one-size,,,kg,,,active
